web-scraper-order,web-scraper-start-url,product,product-href,name,price,reviews_product,reviews_shop,shop_star_rating
"1703616324-11","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Butterfly Print. Pink & Gray Watercolor Butterfly Art Print. Soft Pink Butterfly Art. Watercolor Butterfly Poster. Modern Nursery Art.
            
                
                        


                
    
    
    

        

                
                    (2,781)
                
                

                
                        


                
                    $18.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              SnoogsAndWilde
              From shop SnoogsAndWilde
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/111863840/butterfly-print-pink-gray-watercolor?click_key=81c14a376f43994ac4df7dfee284bdc12ca1d2be%3A111863840&click_sum=6e482a28&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-38&frs=1&etp=1","Butterfly Print. Pink & Gray Watercolor Butterfly Art Print. Soft Pink Butterfly Art. Watercolor Butterfly Poster. Modern Nursery Art.","Price:
        $18.00+","22","2,781","5 out of 5 stars"
"1703616327-12","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Nursery Art Print. Pastel Watercolor Butterfly. Modern Nature Art. Girls Room Art. Mint & Pink Sophisticated Unique Modern Nursery Wall Art.
            
                
                        


                
    
    
    

        

                
                    (2,781)
                
                

                
                        


                
                    $18.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              SnoogsAndWilde
              From shop SnoogsAndWilde
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/155454219/nursery-art-print-pastel-watercolor?click_key=1eb98a52d698ca12bee853530449d8fadf86256d%3A155454219&click_sum=cbed5996&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-37&frs=1&etp=1","Nursery Art Print. Pastel Watercolor Butterfly. Modern Nature Art. Girls Room Art. Mint & Pink Sophisticated Unique Modern Nursery Wall Art.","Price:
        $18.00+","27","2,781","5 out of 5 stars"
"1703616329-13","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","pet portrait painting with owner dog and owner portrait  Gift for him pet with owner dog mom gift pet portrait water color
            
                
                        


                
    
    
    

        

                
                    (148)
                
                

                
                        


                    
                        
                            Sale Price $19.50
                        
                        
                            
                                $19.50
                        
                        
                            $39.00
                            
                                Original Price $39.00
                            
                            
                                
                                (50% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement b y NSartshow
              Advertisement from shop NSartshow
              NSartshow
              From shop NSartshow
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/1371549820/pet-portrait-painting-with-owner-dog-and?click_key=8cdc6e4d54c5943abd39cdbfda26a4272ea4f882%3A1371549820&click_sum=0e4f4ff0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862546-1-16&pro=1&frs=1","pet portrait painting with owner dog and owner portrait  Gift for him pet with owner dog mom gift pet portrait water color","Price:
        $19.50+","34","148","5 out of 5 stars"
"1703616332-14","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Wedding Venue Print, Wedding Gift, 1st Wedding Anniversary Present, Venue Sketch, Painting from Photo, Personalized Drawing, Couple Gift
            
                
                        


                
    
    
    

        

                
                    (26,175)
                
                
        
  

    Star Seller


                
                        


                
                    $45.00
                

                        
                        
                            
                        
                    
              a d vertisement b y EmmaAndTheBean
              Advertisement from shop EmmaAndTheBean
              EmmaAndTheBean
              From shop EmmaAndTheBean
        
            
            
                
            
            
            
    
            
        
            Bestseller","https://www.etsy.com/listing/1434137729/wedding-venue-print-wedding-gift-1st?click_key=b4c341c8bb287797b9ff824b89e26b77f3aa4b22%3A1434137729&click_sum=32c4cf1c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862546-1-15&bes=1&sts=1","Wedding Venue Print, Wedding Gift, 1st Wedding Anniversary Present, Venue Sketch, Painting from Photo, Personalized Drawing, Couple Gift","Price:
        $45.00+","86","26,175","5 out of 5 stars"
"1703616335-15","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Add Deceased Loved One To Photo, Family Memorial Portrait, Cartoon Portrait From Photo, Loss Of Mother, Loved One Portrait, Add Someone
            
                
                        


                
    
    
    

        

                
                    (2,483)
                
                
        
  

    Star Seller


                
                        


                    
                        
                            Sale Price $16.80
                        
                        
                            
                                $16.80
                        
                        
                            $28.00
                            
                                Original Price $28.00
                            
                            
                                
                                (40% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement b y BuBuPortrait
              Advertisement from shop BuBuPortrait
              BuBuPortrait
              From shop BuBuPortrait
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/1530629764/add-deceased-loved-one-to-photo-family?click_key=193908d4000af59f4cfd8a305c70c6a811a0ee40%3A1530629764&click_sum=427e92ec&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862546-1-14&pro=1&frs=1&sts=1","Add Deceased Loved One To Photo, Family Memorial Portrait, Cartoon Portrait From Photo, Loss Of Mother, Loved One Portrait, Add Someone","Price:
        $16.80+","38","2,483","5 out of 5 stars"
"1703616338-16","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Hand-painted Family Portrait with faces
            
                
                        


                
    
    
    

        

                
                    (255)
                
                

                
                        


                
                    $94.00
                

                        
                        
                            
                        
                    
              a d vertisement b y BeccaAnnPriceStudio
              Advertisement from shop BeccaAnnPriceStudio
              BeccaAnnPriceStudio
              From shop BeccaAnnPriceStudio
        
            
    
            
    FREE shipping

    

            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/621088660/hand-painted-family-portrait-with-faces?click_key=0b68db62106aee5eb3cc9a0cf79fe321a44b0bb6%3A621088660&click_sum=67ed25fc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862546-1-13&frs=1&etp=1","Hand-painted Family Portrait with faces","Price:
        $94.00+","213","255","5 out of 5 stars"
"1703616341-17","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Custom Family Portrait Illustration From Photo. Personalized Portrait. Large Family Illustration With Pets In Oval Frame.
            
                
                        


                
    
    
    

        

                
                    (1,003)
                
                

                
                        


                    
                        
                            Sale Price $87.40
                        
                        
                            
                                $87.40
                        
                        
                            $109.25
                            
                                Original Price $109.25
                            
                            
                                
                                (20% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              LiliDiPrima
              From shop LiliDiPrima
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/188793334/custom-family-portrait-illustration-from?click_key=d2fabbf8b97ae974b06b25392f211873a227b8d6%3A188793334&click_sum=ea56b99c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-36&pro=1&frs=1","Custom Family Portrait Illustration From Photo. Personalized Portrait. Large Family Illustration With Pets In Oval Frame.","Price:
        $87.40+","13","1,003","5 out of 5 stars"
"1703616345-18","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Pressed Mimosa - SMc. Originals, watercolor painting, floral, modern, original artwork, silhouette, black and white art, deckled edge
            
                
                        


                
    
    
    

        

                
                    (300)
                
                

                
                        


                
                    $15.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              SMcOriginals
              From shop SMcOriginals
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/499244464/pressed-mimosa-smc-originals-watercolor?click_key=da047340570c546dd0d8c02c1bfef47f23c2deb9%3A499244464&click_sum=1c4ecb7a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-35&etp=1","Pressed Mimosa - SMc. Originals, watercolor painting, floral, modern, original artwork, silhouette, black and white art, deckled edge","Price:
        $15.00+","36","300","5 out of 5 stars"
"1703616347-19","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Stained Glass Star Suncatcher, Star of David, Hanukkah Gift, Jewish Decor, Jewish Star, Magen David, Religious Decor, Star Ornament
            
                
                        


                
    
    
    

        

                
                    (2,229)
                
                
        
  

    Star Seller


                
                        


                
                    $45.00
                

                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              StainedGlassYourWay
              From shop StainedGlassYourWay
        
            
            
                
            
            
            
    Etsy’s Pick","https://www.etsy.com/listing/239316243/stained-glass-star-suncatcher-star-of?click_key=cc2c4dcbebf6605abab0eeb91f1eeeb515071d83%3A239316243&click_sum=e1890343&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-34&etp=1&sts=1","Stained Glass Star Suncatcher, Star of David, Hanukkah Gift, Jewish Decor, Jewish Star, Magen David, Religious Decor, Star Ornament","Price:
        $45.00","117","2,229","5 out of 5 stars"
"1703616350-20","https://www.etsy.com/c/art-and-collectibles?ref=catnav-66","Custom Graffiti Canvas HUMAN PAINTED Personalized Gift Name Large Mural Hangable Wall Art Spray Paint Acrylic Large Sign
            
                
                        


                
    
    
    

        

                
                    (154)
                
                

                
                        


                    
                        
                            Sale Price $37.49
                        
                        
                            
                                $37.49
                        
                        
                            $49.99
                            
                                Original Price $49.99
                            
                            
                                
                                (25% off)
                                
                            
                        


                        
                        
                            
                        
                    
              a d vertisement b y Etsy seller
              Advertisement from Etsy seller
              GraffRootsMedia
              From shop GraffRootsMedia
        
            
    
            
    FREE shipping","https://www.etsy.com/listing/173437655/custom-graffiti-canvas-human-painted?click_key=0bb9ed610a093aa7c02f03932bcba5f074071ef3%3A173437655&click_sum=02d4308e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-862547-1-33&pro=1&frs=1","Custom Graffiti Canvas HUMAN PAINTED Personalized Gift Name Large Mural Hangable Wall Art Spray Paint Acrylic Large Sign","Price:
        $37.49+","76","154","5 out of 5 stars"
