name,min_price,prices,sizes,inches,Art,Print,Wall,art,Decor,print,Gift,Printable,Poster,Abstract,wall,decor,Watercolor,of,Nursery,Digital,Prints,Large,Modern,Download
"Blue Ridge Mountains Print, Fine Art Photography, Ridgeline Silhouette",10.0,"['25.00', '55.00', '100.00', '10.00', '200.00']","[('8', '10'), ('11', '14'), ('16', '20'), ('5', '7'), ('24', '30')]",1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custom Pastel Portrait Painting of Child from photography,650.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Micro Bunny Needle Felted Toy Handmade Doll Soft Sculpture OOAK Needle Felted Wool Animals I will make this item for your order,56.94,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABCs of Life Print, ABC Art Poster, Watercolor Alphabet Print, Wall Art, Baby Shower Gift, Nursery Decor by Little Truths Studio",34.0,,,,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
"Abstract Art, Abstract Lines Modern Wall Art Print Scandinavian Poster Printable Minimalist Black and White Print, Abstract Digital DOWNLOAD",5.91,,,,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0
"Two Sides - Large Contemporary Fine Art Print, Dark Modern Art Painting, Black Figures Design",45.0,"['45.00', '52.00', '70.00', '75.00', '105.00', '133.00', '170.00', '245.00', '275.00', '300.00', '510.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('16', '20'), ('18', '24'), ('24', '36'), ('30', '40'), ('40', '60')]",1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Brooklyn Bridge, New York City Photography, Modern New York Print, NYC Wall Art, Pink Wall Decor, Wanderlust, 8x10 Travel Photography Print",16.0,"['16.00', '30.00', '55.00', '65.00', '65.00', '90.00', '135.00', '140.00', '149.00', '170.00', '179.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('12', '16'), ('12', '18'), ('16', '20'), ('20', '24'), ('20', '30'), ('24', '30'), ('24', '36'), ('30', '40')]",1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Abstract Painting, Large wall art, Abstract art print, Pastel pink and white painting, colorful abstract painting, extra large wall art",34.23,"['34.23', '34.23', '35.00', '35.00', '58.80', '58.80', '76.30', '85.33', '104.30', '104.30', '114.10', '122.50', '131.60', '134.40', '137.90', '147.00', '180.60', '240.10', '241.50', '258.93', '41.30', '58.10', '73.50', '91.00', '112.00', '126.00', '133.00', '140.00', '154.00', '168.00', '147.70', '161.00', '164.50', '134.40', '177.10', '162.40', '224.00', '224.00', '126.00', '133.00', '140.00', '147.00', '154.00', '321.30', '338.80', '357.00', '436.80', '436.80', '454.30', '454.30']","[('8', '12'), ('11', '14'), ('11', '17'), ('12', '16'), ('16', '20'), ('16', '24'), ('20', '24'), ('20', '28'), ('20', '35'), ('24', '30'), ('24', '32'), ('24', '36'), ('24', '40'), ('30', '40'), ('32', '40'), ('30', '45'), ('30', '60'), ('40', '60'), ('42', '60'), ('44', '66'), ('12', '12'), ('16', '16'), ('20', '20'), ('24', '24'), ('30', '30'), ('32', '32'), ('36', '36'), ('40', '40'), ('42', '42'), ('44', '44')]",1.0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Downton Vintage Retro Style Travel Poster,16.5,"['16.50', '21.50', '32.50', '57.50']","[('8', '10'), ('11', '17'), ('18', '24'), ('24', '36')]",1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Motivating Quote Wall Print, Digital Download Print, Wall Decor, Large Printable Art, Downloadable Prints, Money Never Sleeps Inspirational",4.99,,,,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
